date debut;date fin;type budget;Montant
2011-12-06;2012-03-02;Budget principal ;
2012-03-02;2012-04-13;Budget principal ;22277,31
2012-04-13;2012-06-15;Budget principal ;21065
2012-06-15;2012-07-13;Budget principal ;12177,19
2012-06-15;2012-07-13;Budget de l'eau et de l'assainissement;731,68
2012-07-13;2012-09-27;Budget de l'eau et de l'assainissement;720
2012-07-13;2012-09-27;Budget principal ;20603,3
2012-09-27;2012-12-14;Budget de l'eau et de l'assainissement;540
2012-09-27;2012-12-14;Budget principal ;16356,32
2012-12-14;2013-03-15;Budget principal ;40250,92
2013-03-15;2013-04-12;Budget principal ;18499,49
2013-04-12;2013-05-30;Budget principal ;27893,1
2013-04-12;2013-05-30;Budget de l'eau et de l'assainissement;1899,85
2013-05-30;2013-06-19;Budget principal ;31751,25
2013-06-19;2013-07-18;Budget principal ;19023,49
2013-07-18;2013-09-19;;
2013-09-19;2013-10-18;;
2013-10-18;2013-12-19;Budget principal ;8923,93
2013-10-18;2013-12-19;Budget de l'eau et de l'assainissement;956,8
2013-12-19;2014-03-13;;
2014-03-13;2014-04-30;Budget de l'eau et de l'assainissement;106,22
2014-03-13;2014-04-30;Budget principal ;17626,61
2014-04-30;2014-06-20;;
2014-06-20;2014-07-18;;
2014-06-20;2014-07-18;;
2014-07-18;2014-09-26;;23259,49
2014-09-26;2014-12-05;;
2014-12-05;2015-01-28;Budget principal ;75269,48
2015-01-28;2015-04-10;Budget de l'eau et de l'assainissement;1130,8
2015-01-28;2015-04-10;Budget principal ;43173,79
2015-04-10;2015-06-08;Budget principal ;14822,85
2015-06-08;2015-07-24;;
2015-07-24;2015-09-11;;
2015-09-11;2015-12-11;;
2015-12-11;2016-02-26;;
2016-02-26;2016-04-30;Budget principal ;16172,22
2016-04-30;2014-06-20;Budget principal ;11167,31
