date;type;detail;entreprise;montant global;;montant commune
2013-12-19;Église;église Sainte Marie-Madeleine du Vieil Aiglun ;SARL Garcin;12023.97;TTC;12023.97
2012-04-13;Hameau du Roux;éclairage public au « Hameau du Roux »;SIE de la région Digne-Barrême;13488.53;TTC;11488.53
2012-04-13;Hameau du Roux;enfouissement du réseau électrique « hameau du Roux » ;SIE de la région Digne-Barrême;26986.67;TTC;26986.67
2014-03-13;Chateau / Bléone;travaux et de restauration de la végétation rivulaire Bléone – Chateau;;1 320.00 ;TTC;1 320.00 
2014-03-13;Général;diagnostics amiante et plomb ;Bureau d’Etudes Techniques Lagarde;300;HT;300
2013-12-19;Paluts;régénération et de protection des forages des Paluts;SARL Eau Forte;39707.7;;39707.7
2013-12-19;Église;fabrication de la passerelle et du plancher sur le puits;SARL STMIP;14100;;14100
2012-07-19;Jeu de boules;éclairage du terrain de jeu de boules;Sobeca;15980;;15980
;Église;renforcement de sol par injection de résine de l’église Sainte-Marie-Madeleine du Vieil Aiglun;URETEK FRANCE SAS;55000;;55000
2013-07-18;Église;restauration de l’église Sainte-Marie-Madeleine du Vieil Aiglun ;;309232;;113229
2013-07-18;Église;Église : aménagements divers d’accès extérieurs et des réseaux d’eau et d’assainissement et l’édification de sanitaires;;170761.27;;170761.27
2014-07-18;Église;Église : travaux de confortement de sol et des travaux de maçonnerie, drainage et ravalement partiel de façades;;121175;;24235
2014-12-05;Square;square public avec des jeux ludiques, des espaces verts, des espaces de détente avec du mobilier urbain, des aménagements pour l’accessibilité des personnes handicapées, un chemin piétonnier inter quartiers, un parcours sportif de santé;;183095.25;;183 095.25
;Duyes;protection des berges des Duyes;;21723.68;;4344.74
2015-12-11;Maire;accessibilité mairie;;102600;;102600
2015-12-11;École;accessibilité école;;98200;;98200
2015-12-11;City stade;accessibilité city stade;;13400;;13400
2015-12-11;Aire de loisirs;accessibilité air de loisirs;;31000;;31000
2015-12-11;Église;accessibilité église du Vieil Aiglun;;40000;;40000
2012-09-27;Pole Multiactivités;pôle multiactivités Raymond Moutet;;680000;;680000
